Number	Source	Target	Polysemies	OvertMarkings
0	cloud	fog/mist	24	7
1	sun	moon	17	3
10	ashes	embers	6	2
11	tree	forest	4	6
12	day	dawn	3	20
13	bloom (blossom, flower)	bud	3	4
14	day	noon	2	35
15	sun	noon	2	24
16	honey	wax	2	4
17	bone	horn	2	2
18	river/stream	flood	2	2
19	breast	milk	43	30
2	grass	straw/hay	11	10
20	mouth	lip	16	31
21	belly/stomach	womb	11	6
22	heart	belly/stomach	7	2
23	milk	nipple	5	4
24	liver	lungs	4	9
25	car	train	3	3
26	heart	kidney	3	3
27	mirror	glasses	2	9
28	heart	lungs	2	3
29	tooth	jaw	2	2
3	smoke	fog/mist	11	3
30	belly/stomach	navel	2	3
31	cheek	buttocks	2	3
32	mouth	cheeck	2	3
33	skin	bark	45	26
34	mouth	beak	18	11
35	saliva/spittle	foam	8	4
36	house	nest	7	14
37	mouth	estuary	5	5
38	tongue	flame	2	24
39	road/street/way	Milky Way	2	15
4	steam	fog/mist	9	2
40	bed	nest	2	2
41	egg	testicle	20	9
42	sun	clock	15	16
43	seed	testicle	6	6
44	shadow	mirrow	3	5
45	bird	airplane	3	3
46	foam	lungs	3	2
5	animal	bird	8	8
6	lake	swamp	8	4
7	smoke	dust	8	4
8	smoke	cloud	7	2
9	tree	branch	6	17
